site,site_long,site_alt
NA,NA,Tornes
NA,NA,Torpo
NA,NA,Torsken
NA,NA,Torsteinsvik
NA,NA,Torvika
NA,NA,Torvikbukt
NA,NA,Torvvik
NA,NA,Total
NA,NA,Total (incl. outside the municipalities)
NA,NA,Tovik
NA,NA,Tranby
NA,NA,Trengereid
NA,NA,Tresfjord
NA,NA,Tretten
NA,NA,Trofors
NA,NA,Trolla
NA,NA,Trolldalen
por,Porsangerfjorden,Troms og Finnmark - Romsa ja Finnmárku
NA,NA,Tromsdalen
NA,NA,Tromsø
NA,NA,Tromsø Langnes
NA,NA,Tromøy
NA,NA,Trondheim
NA,NA,Trondheim Værnes
NA,NA,Trondshaugen
NA,NA,Trones
NA,NA,Trøa
NA,NA,Trømborg
NA,NA,Trøndelag - Trööndelage
NA,NA,Tuv
NA,NA,Tvedestrand
NA,NA,Tveit
NA,NA,Tveitsund
NA,NA,Tverrelvdalen
NA,NA,Tveteneåsen
NA,NA,Tynset
NA,NA,Tyristrand
NA,NA,Tyssedal
NA,NA,Tælavåg
NA,NA,Tønsberg
NA,NA,Ubergsmoen
NA,NA,Uggdalseidet
NA,NA,Ula
NA,NA,Ulefoss
NA,NA,Ullerøy
NA,NA,Ulsteinsvik
NA,NA,Ulvik
NA,NA,Undheim
NA,NA,Upernavik
NA,NA,Uskedal
NA,NA,Utgård
NA,NA,Uthaug
disko,Qeqertarsuup Tunua,Uummannaq
NA,NA,Vadfoss/Helle
NA,NA,Vadheim
NA,NA,Vadsø
NA,NA,Vaksdal
NA,NA,Valestrandfossen
NA,NA,Valle
NA,NA,Valvatna
NA,NA,Vang (Hønefoss)
NA,NA,Vangsvik
NA,NA,Vangsåsen
NA,NA,Vanse
NA,NA,Vanvikan
NA,NA,Vardø
NA,NA,Vardø Svartnes
NA,NA,Varhaug
NA,NA,Varhaugvika
NA,NA,Vassenden
NA,NA,Vassøy
NA,NA,Vatne
NA,NA,Vear
NA,NA,Vedavågen
NA,NA,Vedderheia
NA,NA,Veggli
NA,NA,Veiholmen
NA,NA,Velde
NA,NA,Vennesla
NA,NA,Verdalsøra
NA,NA,Verningen
NA,NA,Vestby
NA,NA,Vestbygda
NA,NA,Vestfold og Telemark
NA,NA,Vestfossen
NA,NA,Vestland
NA,NA,Vestnes
NA,NA,Vestre Jakobselv
NA,NA,Vestre Åmøy
NA,NA,Vestvågøy Leknes
NA,NA,Vevelstad
NA,NA,Vigeland
NA,NA,Viggja
NA,NA,Vigrestad
NA,NA,Vik
NA,NA,Vikavågen
NA,NA,Vikebukt
NA,NA,Vikebø
NA,NA,Vikedal
NA,NA,Viken
NA,NA,Vikersund
NA,NA,Vikeså
NA,NA,Vikevåg
NA,NA,Viksøyri
NA,NA,Vikvågen
NA,NA,Vikøy
NA,NA,Vindenes
NA,NA,Vingnes
NA,NA,Vingrom
NA,NA,Vinstra
NA,NA,Visnes
NA,NA,Volda
NA,NA,Voll
NA,NA,Volleberg
NA,NA,Vollen
NA,NA,Vormedal
NA,NA,Vormstad
NA,NA,Vormsund
NA,NA,Vossevangen
NA,NA,Vrådal
NA,NA,Vuku
NA,NA,Våge
NA,NA,Vågsvåg
NA,NA,Vågåmo
NA,NA,Våk
NA,NA,Våler
NA,NA,Våre
NA,NA,Værøy
NA,NA,West- Eastgreenland
NA,NA,Westgreenland
NA,NA,Ydstebøhamn
NA,NA,Yli
NA,NA,Ytre Arna
NA,NA,Ytre Enebakk
nor,nor,barents sea
disko,Qeqertarsuup Tunua,disko
NA,NA,east ice
green,green,green
is,Isfjorden,is
kong,Kongsfjorden,kong
nor,nor,nor
nuup,Nuup Kangerlua,nuup
por,Porsangerfjorden,por
stor,Storfjorden,stor
sval,sval,sval
sval,sval,svalbard
NA,NA,west ice
young,Young Sound,young
NA,NA,Å
NA,NA,Å i Åfjord
NA,NA,Ådalsbruk
NA,NA,Ågotnes
NA,NA,Åkrehamn
NA,NA,Åkrehamn/Vedavågen
NA,NA,Åkrene
NA,NA,Ål
NA,NA,Ålesund
NA,NA,Ålesund Vigra
NA,NA,Ålgård/Figgjo
NA,NA,Ålvik
NA,NA,Ålvund
NA,NA,Åmli
NA,NA,Åmot
NA,NA,Åmot/Geithus
NA,NA,Åndalsnes
NA,NA,Åneby
NA,NA,Årdalstangen
NA,NA,Årnes
NA,NA,Åros
NA,NA,Årset
NA,NA,Årås
NA,NA,Årøysund
NA,NA,Ås
NA,NA,Åse
NA,NA,Åsen
NA,NA,Åsgrenda
NA,NA,Åsgårdstrand
NA,NA,Øksfjord
NA,NA,Ølen
NA,NA,Ølensvåg
NA,NA,Ørje
NA,NA,Ørland
NA,NA,Ørnes
NA,NA,Ørsta
NA,NA,Ørsta-Volda Hovden
NA,NA,Østby
NA,NA,Østenstad
NA,NA,Østersund
NA,NA,Østhusvik
NA,NA,Øverbø
NA,NA,Øvre Årdal
NA,NA,Øye
NA,NA,Øyenkilen
NA,NA,Øyer
NA,NA,Øyslebø
NA,NA,Øystese
NA,NA,NA
